2010-01-04,9.40,9.50,9.58,9.33,19475,61384090.19,2.67,1.50,0.14,8.11
2010-01-05,9.51,9.37,9.57,9.17,17889,55530477.07,4.21,-1.37,-0.13,7.45
2010-01-06,9.37,9.23,9.47,9.18,20814,64253038.79,3.09,-1.49,-0.14,8.67
2010-01-07,9.21,8.84,9.24,8.77,24357,72850982.52,5.09,-4.23,-0.39,10.15
2010-01-08,8.87,8.91,8.95,8.78,14022,41372697.57,1.92,0.79,0.07,5.84
2010-01-11,8.91,9.41,9.44,8.78,31572,96367853.33,7.41,5.61,0.50,13.15
2010-01-12,9.36,9.78,10.14,9.33,58468,191003284.75,8.61,3.93,0.37,24.36
2010-01-14,10.07,10.27,10.55,9.89,59676,202426785.54,6.75,5.01,0.49,24.86
2010-01-15,10.14,9.97,10.24,9.93,30440,101224515.02,3.02,-2.92,-0.30,12.68
2010-01-18,9.89,9.99,10.09,9.75,20801,68561732.12,3.41,0.20,0.02,8.67
2010-01-19,9.99,9.74,9.99,9.63,17621,57013613.98,3.60,-2.50,-0.25,7.34
2010-01-20,9.72,9.11,9.74,9.02,23536,73026498.29,7.39,-6.47,-0.63,9.81
2010-01-21,9.11,9.43,9.45,9.10,14338,44286602.99,3.84,3.51,0.32,5.97
2010-01-22,9.31,9.32,9.41,8.93,14735,44826897.19,5.09,-1.17,-0.11,6.14
2010-01-25,9.29,9.06,9.29,9.02,6602,20175711.54,2.90,-2.79,-0.26,2.75
2010-01-26,9.08,8.65,9.16,8.50,11149,32551801.84,7.28,-4.53,-0.41,4.65
2010-01-27,8.62,8.62,8.83,8.59,8804,25598839.61,2.77,-0.35,-0.03,3.67
2010-01-28,8.62,9.14,9.23,8.51,16361,48059920.28,8.35,6.03,0.52,6.82
2010-01-29,9.05,9.14,9.26,8.93,13965,42467000.61,3.61,0.00,0.00,5.82
2010-02-01,9.08,8.81,9.08,8.62,7880,23055148.53,5.03,-3.61,-0.33,3.28
2010-02-02,8.81,8.83,9.01,8.73,7184,21255970.34,3.18,0.23,0.02,2.99
2010-02-03,8.78,8.67,8.92,8.26,9652,27625544.61,7.47,-1.81,-0.16,4.02
2010-02-04,8.47,8.41,8.74,8.41,16987,48253597.14,3.81,-3.00,-0.26,7.08
2010-02-05,8.25,7.93,8.26,7.83,14734,39361418.30,5.11,-5.71,-0.48,6.14
2010-02-08,7.93,7.94,8.02,7.84,5149,13649452.68,2.27,0.13,0.01,2.15
2010-02-09,7.94,7.98,8.01,7.92,4277,11346525.81,1.13,0.50,0.04,1.78
2010-02-10,8.01,8.18,8.20,7.98,6891,18659272.30,2.76,2.51,0.20,2.87
2010-02-11,8.18,8.15,8.20,8.12,4590,12477033.96,0.98,-0.37,-0.03,1.91
2010-02-12,8.24,8.24,8.29,8.11,4192,11478668.94,2.21,1.10,0.09,1.75
2010-02-22,8.25,8.27,8.37,8.25,4823,13356212.48,1.46,0.36,0.03,2.01
2010-02-23,8.25,8.12,8.28,7.92,5615,15043412.54,4.35,-1.81,-0.15,2.34
2010-02-24,8.09,8.46,8.55,7.96,10443,29247837.01,7.27,4.19,0.34,4.35
2010-02-25,8.55,8.65,8.66,8.47,13400,38293983.55,2.25,2.25,0.19,5.58
2010-02-26,8.59,8.72,8.77,8.50,13959,40434585.37,3.12,0.81,0.07,5.82
2010-03-01,8.63,8.66,8.79,8.61,11881,34304327.01,2.06,-0.69,-0.06,4.95
2010-03-02,8.66,8.65,8.74,8.61,8396,24237651.00,1.50,-0.12,-0.01,3.50
2010-03-03,8.65,8.77,8.77,8.63,11107,32193192.07,1.62,1.39,0.12,4.63
2010-03-04,8.80,8.33,8.89,8.27,13462,38467383.16,7.07,-5.02,-0.44,5.61
2010-03-05,8.30,8.33,8.47,8.20,5898,16351796.56,3.24,0.00,0.00,2.46
