2010-02-26,5.80,6.32,6.67,5.66,88917,320109444.00,29.02,81.61,2.84,85.50
2010-03-01,6.09,6.27,6.36,6.00,51026,189580246.00,5.70,-0.79,-0.05,49.06
2010-03-02,6.19,6.10,6.25,6.03,34705,128128621.00,3.51,-2.71,-0.17,33.37
2010-03-03,6.07,6.36,6.65,6.07,41851,160289517.00,9.51,4.26,0.26,40.24
2010-03-04,6.29,5.88,6.29,5.87,31843,116254973.00,6.60,-7.55,-0.48,30.62
2010-03-05,5.80,5.81,5.87,5.72,18073,63114399.00,2.55,-1.19,-0.07,17.38
2010-03-08,5.80,5.87,5.98,5.80,10682,38003066.00,3.10,1.03,0.06,10.27
2010-03-09,5.88,6.03,6.08,5.87,16418,59076779.00,3.58,2.73,0.16,15.79
2010-03-10,6.06,5.94,6.07,5.90,9721,35011791.00,2.82,-1.49,-0.09,9.35
2010-03-11,5.92,6.13,6.18,5.81,19288,69776539.00,6.23,3.20,0.19,18.55
2010-03-12,6.07,6.20,6.57,6.04,34091,129258497.00,8.65,1.14,0.07,32.78
2010-03-15,6.18,6.30,6.40,6.10,18874,71220572.00,4.84,1.61,0.10,18.15
2010-03-16,6.17,5.99,6.22,5.93,19396,70804124.00,4.60,-4.92,-0.31,18.65
2010-03-17,5.98,6.11,6.11,5.94,13729,49957084.00,2.84,2.00,0.12,13.20
2010-03-18,6.11,6.17,6.20,6.05,10845,40032281.00,2.45,0.98,0.06,10.43
2010-03-19,6.17,6.08,6.17,6.00,10186,37178370.00,2.76,-1.46,-0.09,9.79
2010-03-22,6.06,6.02,6.08,5.93,11178,40344901.00,2.47,-0.99,-0.06,10.75
2010-03-23,6.01,6.03,6.10,5.93,9405,34078407.00,2.82,0.17,0.01,9.04
2010-03-24,6.05,6.20,6.24,5.98,20211,74845161.00,4.31,2.82,0.17,19.43
2010-03-25,6.19,6.43,6.52,6.17,30997,118716849.00,5.65,3.71,0.23,29.80
2010-03-26,6.41,6.37,6.46,6.20,17389,66105477.00,4.04,-0.93,-0.06,16.72
2010-03-29,6.38,6.59,6.64,6.26,23540,91174287.00,5.97,3.45,0.22,22.63
2010-03-30,6.60,6.50,6.71,6.50,19733,78093983.00,3.19,-1.37,-0.09,18.97
2010-03-31,6.49,6.56,6.66,6.49,18170,71439766.00,2.62,0.92,0.06,17.47
2010-04-01,6.62,6.53,6.95,6.53,26025,105092499.00,6.40,-0.46,-0.03,25.02
2010-04-02,6.45,6.43,6.50,6.38,14024,54105412.00,1.84,-1.53,-0.10,13.48
2010-04-06,6.47,6.60,6.60,6.42,13927,54501015.00,2.80,2.64,0.17,13.39
2010-04-07,6.74,6.73,6.76,6.63,15825,63578807.00,1.97,1.97,0.13,15.22
2010-04-08,6.68,6.61,6.93,6.59,18007,72986732.00,5.05,-1.78,-0.12,17.31
2010-04-09,6.57,6.83,6.87,6.54,14023,56719834.00,4.99,3.33,0.22,13.48
2010-04-12,6.85,7.15,7.19,6.76,19247,80520826.00,6.30,4.69,0.32,18.51
2010-04-13,7.19,6.91,7.24,6.48,23827,98057182.00,10.63,-3.36,-0.24,22.91
2010-04-14,6.90,6.80,6.95,6.72,7067,28816036.00,3.33,-1.59,-0.11,6.80
2010-04-15,6.85,6.53,6.92,6.41,11689,46504384.00,7.50,-3.97,-0.27,11.24
2010-04-19,6.52,6.47,6.68,6.44,8190,32336282.00,3.68,-0.92,-0.06,7.87
2010-04-20,6.50,6.58,6.59,6.09,6926,26527341.00,7.73,1.70,0.11,6.66
2010-04-21,6.64,6.72,6.77,6.50,8166,32772059.00,4.10,2.13,0.14,7.85
2010-04-22,6.72,6.91,6.99,6.62,11506,47394980.00,5.51,2.83,0.19,11.06
2010-04-23,6.81,7.07,7.17,6.81,13383,56592718.00,5.21,2.32,0.16,12.87
2010-04-26,7.08,7.21,7.63,7.08,13866,60345033.00,7.78,1.98,0.14,13.33
2010-04-27,7.07,6.90,7.17,6.77,8198,33811479.00,5.55,-4.30,-0.31,7.88
2010-04-28,6.64,6.67,6.84,6.33,10834,42726240.00,7.39,-3.33,-0.23,10.42
2010-04-29,6.67,6.22,6.77,6.17,5463,21439630.00,9.00,-6.75,-0.45,5.25
2010-04-30,6.21,6.24,6.26,5.83,5822,21301386.00,6.91,0.32,0.02,5.60
2010-05-04,6.08,6.23,6.36,6.08,2217,8310807.00,4.49,-0.16,-0.01,2.13
2010-05-05,6.22,6.48,6.53,6.17,3243,12374120.00,5.78,4.01,0.25,3.12
2010-05-06,6.48,6.29,6.65,6.29,3723,14436316.00,5.56,-2.93,-0.19,3.58
2010-05-07,6.12,6.17,6.33,5.98,2720,10097505.00,5.56,-1.91,-0.12,2.62
2010-05-10,6.24,5.78,6.25,5.53,6774,23535356.00,11.67,-6.32,-0.39,6.51
2010-05-11,5.85,5.47,5.85,5.46,3233,10992055.00,6.75,-5.36,-0.31,3.11
